Month,Sales_volume,Revenue,Cost,Promotion_expense,Profit,Version,Unit_price,Unit_cost,ROI,Profit_rate,Target,Time_to_peak,Total_sales
9,11240.0,1111811.973,562026.78,166771.79595,383013.39705,4,98.9156559608541,50.0023825622776,0.52554081427881,0.34449475842261,9838.0,2,238633.2
10,9838.0,900608.659,476582.36,135091.29885,288935.00015,4,91.5438767025818,48.4430128074812,0.472367897439336,0.320821921111465,30039.0,2,238633.2
11,30039.0,2673363.854,1481744.67,401004.5781,790614.6059,4,88.9964331036319,49.3273634275442,0.41992559906629,0.295737748049914,10067.0,2,238633.2
12,10067.0,966808.519,484028.43,145021.27785,337758.81115,4,96.0374013112149,48.080702294626,0.536935009960358,0.349354401116939,4786.0,2,238633.2
1,4786.0,547284.0,226097.57,82092.6,239093.83,4,114.351023819473,47.2414479732553,0.77579966291592,0.43687341489976,2817.0,2,238633.2
2,2817.0,313746.48,128914.07,47061.972,137770.438,4,111.376102236422,45.7628931487398,0.782893150875617,0.439113892210042,6496.0,2,238633.2
3,6496.0,642835.0,288844.18,96425.25,257565.57,4,98.9585899014778,44.4649291871921,0.668533628531078,0.400671354235535,1967.0,2,238633.2
4,1967.0,229984.0,90475.07,34497.6,105011.33,4,116.921199796645,45.9964768683274,0.840274357585542,0.456602763670516,3360.0,2,238633.2
5,3360.0,299989.0,144978.52,44998.35,110012.13,4,89.2824404761905,43.148369047619,0.579081706104538,0.366720546420035,3654.0,2,238633.2
6,3654.0,426863.0,161661.84,64029.45,201171.71,4,116.82074438971,44.2424302134647,0.891357880935503,0.471279333181841,2307.0,2,238633.2
7,2307.0,258531.17,101087.33,38779.6755,118664.1645,4,112.063792804508,43.8176549631556,0.84840712844174,0.458993646684846,3881.2,2,238633.2
8,3881.2,427238.51,172731.48,64085.7765,190421.2535,4,110.078972998042,44.5046583530867,0.804085210319122,0.445702456690994,4100.0,2,238633.2
9,4100.0,461940.06,185577.94,69291.009,207071.111,4,112.668307317073,45.2629121951219,0.812461117026853,0.448264025856515,7903.0,2,238633.2
10,7903.0,784188.64,341799.54,117628.296,324760.804,4,99.2267037833734,43.2493407566747,0.706880990989845,0.414136073177495,10279.0,2,238633.2
11,10279.0,751721.719999999,433838.5,112758.258,205124.961999999,4,73.1317949216849,42.2062943866135,0.375276580034159,0.272873533573035,8741.0,2,238633.2
12,8741.0,761225.23,365551.4,114183.7845,281490.0455,4,87.0867440796248,41.820318041414,0.586761310395402,0.36978549108258,3998.0,2,238633.2
1,3998.0,440015.97,180542.32,66002.3955,193471.2545,4,110.059022011005,45.1581590795398,0.784730891950511,0.439691437790315,7457.0,2,238633.2
2,7457.0,647419.32,309394.18,97112.898,240912.242,4,86.8203459836395,41.4904358321041,0.592639722745492,0.372111604578004,7176.0,2,238633.2
3,7176.0,796072.08,297393.47,119410.812,379267.798,4,110.935351170569,41.4427912486065,0.909942182407809,0.476423941409929,5264.0,2,238633.2
4,5264.0,559794.85,217256.62,83969.2275,258569.0025,4,106.344006458967,41.2721542553192,0.858389160976632,0.461899573566995,3120.0,2,238633.2
5,3120.0,345277.16,133729.79,51791.574,159755.796,4,110.665756410256,42.8621121794872,0.861118054306673,0.46268857169701,3620.0,2,238633.2
6,3620.0,346498.0998,158197.14,51974.71497,136326.24483,4,95.7177071270718,43.7008674033149,0.648641773892414,0.393440093635977,2407.0,2,238633.2
7,2407.0,222427.9,119451.71,33364.185,69612.005,4,92.4087660988783,49.6268009970918,0.455528562653774,0.31296435833814,2368.0,2,238633.2
8,2368.0,236032.55,130987.47,35404.8825,69640.1975,4,99.6759079391892,55.3156545608108,0.418530037310459,0.295044888935869,3459.0,2,238633.2
9,3459.0,316456.2,164136.12,47468.43,104851.65,4,91.4877710320902,47.4518993928881,0.495507539889856,0.331330686521547,2572.0,2,238633.2
10,2572.0,254552.28,128578.71,38182.842,87790.728,4,98.9705598755832,49.9917223950233,0.526444656739582,0.344882897925723,3046.0,2,238633.2
11,3046.0,313598.89,137565.61,47039.8335,128993.4465,4,102.954330269206,45.1627084701247,0.69875212807579,0.411332599104544,,2,238633.2
